campaign_name,month,revenue
Email - Promo Blast,2024-04,15343.25
Email - Promo Blast,2024-05,16676.57
Email - Promo Blast,2024-06,15520.16
Email - Promo Blast,2024-07,16509.17
Email - Promo Blast,2024-08,17150.41
Email - Re-engagement,2024-08,16198.66
Email - Re-engagement,2024-09,16357.63
Email - Re-engagement,2024-10,16467.72
Email - Re-engagement,2024-11,15894.45
Email - Re-engagement,2024-12,18123.55
Email - Welcome Series,2024-01,14148.48
Email - Welcome Series,2024-02,13365.35
Email - Welcome Series,2024-03,14387.65
Email - Welcome Series,2024-04,15452.4
Google - Brand Search,2024-01,2469.87
Google - Brand Search,2024-02,2212.48
Google - Brand Search,2024-03,2571.08
Google - Brand Search,2024-04,2450.55
Google - Competitor,2024-04,2242.23
Google - Competitor,2024-05,3058.53
Google - Competitor,2024-06,2769.98
Google - Competitor,2024-07,2664
Google - Competitor,2024-08,2712.37
Google - Display,2024-08,2817.58
Google - Display,2024-09,2912.71
Google - Display,2024-10,3078.06
Google - Display,2024-11,2539.4
Google - Display,2024-12,3147.08
Meta - Awareness Q1,2024-01,870.6
Meta - Awareness Q1,2024-02,661.15
Meta - Awareness Q1,2024-03,683.52
Meta - Awareness Q1,2024-04,935.12
Meta - Lookalike,2024-08,1141.27
Meta - Lookalike,2024-09,1324.45
Meta - Lookalike,2024-10,1122.26
Meta - Lookalike,2024-11,1030.8
Meta - Lookalike,2024-12,1408.17
Meta - Retargeting,2024-04,861.79
Meta - Retargeting,2024-05,1104.92
Meta - Retargeting,2024-06,1183.36
Meta - Retargeting,2024-07,1294.61
Meta - Retargeting,2024-08,944.3
SEO - Backlink Push,2024-08,923.7
SEO - Backlink Push,2024-09,1130.46
SEO - Backlink Push,2024-10,978.29
SEO - Backlink Push,2024-11,1132.13
SEO - Backlink Push,2024-12,860.14
SEO - Blog Content,2024-01,1111.89
SEO - Blog Content,2024-02,1163.66
SEO - Blog Content,2024-03,729.3
SEO - Blog Content,2024-04,903.98
SEO - Landing Pages,2024-04,903.21
SEO - Landing Pages,2024-05,476.86
SEO - Landing Pages,2024-06,870.26
SEO - Landing Pages,2024-07,874.09
SEO - Landing Pages,2024-08,862.44
