"campaign_name","total_revenue","expenses","budget","budget_utilization","roi"
"Email - Promo Blast","81199.56","2851.20","2500.00","114.0","2747.9"
"Email - Re-engagement","83042.01","3013.97","1800.00","167.4","2655.2"
"Email - Welcome Series","57353.88","2120.24","2000.00","106.0","2605.1"
"SEO - Backlink Push","5024.72","4936.87","3500.00","141.1","1.8"
"SEO - Blog Content","3908.83","3915.30","3000.00","130.5","-0.2"
"SEO - Landing Pages","3986.86","4983.11","4000.00","124.6","-20.0"
"Google - Display","14494.83","20144.84","10000.00","201.4","-28.0"
"Google - Competitor","13447.11","19085.27","15000.00","127.2","-29.5"
"Google - Brand Search","9703.98","14475.67","12000.00","120.6","-33.0"
"Meta - Lookalike","6026.95","14877.33","9500.00","156.6","-59.5"
"Meta - Retargeting","5388.98","14296.77","11000.00","130.0","-62.3"
"Meta - Awareness Q1","3150.39","10611.71","8000.00","132.6","-70.3"
